"filename", "language", "TypeScript", "JSON", "JavaScript", "HTML", "CSS", "YAML", "Ignore", "Markdown", "Shell Script", "comment", "blank", "total"
"/Users/paulkim/Desktop/cs_projects/retrievo_server/.circleci/config.yml", "YAML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 4, 9, 49
"/Users/paulkim/Desktop/cs_projects/retrievo_server/.eslintrc.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/Users/paulkim/Desktop/cs_projects/retrievo_server/.github/ISSUE_TEMPLATE/-retrospect--n----------.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 7, 23
"/Users/paulkim/Desktop/cs_projects/retrievo_server/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/paulkim/Desktop/cs_projects/retrievo_server/.prettierrc", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/paulkim/Desktop/cs_projects/retrievo_server/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 8
"/Users/paulkim/Desktop/cs_projects/retrievo_server/client/build/asset-manifest.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49
"/Users/paulkim/Desktop/cs_projects/retrievo_server/client/build/index.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/paulkim/Desktop/cs_projects/retrievo_server/client/build/manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/paulkim/Desktop/cs_projects/retrievo_server/client/build/static/css/14.683bfc02.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"/Users/paulkim/Desktop/cs_projects/retrievo_server/client/build/static/css/2.683bfc02.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"/Users/paulkim/Desktop/cs_projects/retrievo_server/client/build/static/js/14.f818ef8f.chunk.js", "JavaScript", 0, 0, 96366, 0, 0, 0, 0, 0, 0, 7537, 61, 103964
"/Users/paulkim/Desktop/cs_projects/retrievo_server/client/build/static/js/2.6dfd7d52.chunk.js", "JavaScript", 0, 0, 94863, 0, 0, 0, 0, 0, 0, 7371, 61, 102295
"/Users/paulkim/Desktop/cs_projects/retrievo_server/client/build/static/js/main.235a9e19.chunk.js", "JavaScript", 0, 0, 8906, 0, 0, 0, 0, 0, 0, 1, 1, 8908
"/Users/paulkim/Desktop/cs_projects/retrievo_server/client/build/static/js/main.6c26d2d7.chunk.js", "JavaScript", 0, 0, 8931, 0, 0, 0, 0, 0, 0, 1, 1, 8933
